file,label,method,expected_count,detected_count,count_correct,prediction,exact_correct,edit_distance,segmentation_ms,warnings,error
data\segmentation_photos\Haresh\Haresh_01_label-0.png,0,components,1,1,1,0,1,0,37.727,,
data\segmentation_photos\Haresh\Haresh_01_label-0.png,0,projection,1,1,1,0,1,0,37.928,,
data\segmentation_photos\Haresh\Haresh_02_label-2.png,2,components,1,1,1,2,1,0,29.437,,
data\segmentation_photos\Haresh\Haresh_02_label-2.png,2,projection,1,1,1,2,1,0,28.106,,
data\segmentation_photos\Haresh\Haresh_03_label-6.png,6,components,1,1,1,6,1,0,17.943,,
data\segmentation_photos\Haresh\Haresh_03_label-6.png,6,projection,1,1,1,6,1,0,22.544,,
data\segmentation_photos\Haresh\Haresh_04_label-7.png,7,components,1,1,1,7,1,0,20.655,,
data\segmentation_photos\Haresh\Haresh_04_label-7.png,7,projection,1,1,1,7,1,0,20.787,,
data\segmentation_photos\Haresh\Haresh_05_label-9.png,9,components,1,1,1,7,0,1,30.004,,
data\segmentation_photos\Haresh\Haresh_05_label-9.png,9,projection,1,1,1,7,0,1,34.865,,
data\segmentation_photos\Haresh\Haresh_06_label-14.png,14,components,2,2,1,14,1,0,11.748,,
data\segmentation_photos\Haresh\Haresh_06_label-14.png,14,projection,2,2,1,14,1,0,13.34,,
data\segmentation_photos\Haresh\Haresh_07_label-109.png,109,components,3,3,1,109,1,0,12.558,,
data\segmentation_photos\Haresh\Haresh_07_label-109.png,109,projection,3,3,1,109,1,0,11.507,,
data\segmentation_photos\Haresh\Haresh_08_label-1150.png,1150,components,4,4,1,1150,1,0,9.809,,
data\segmentation_photos\Haresh\Haresh_08_label-1150.png,1150,projection,4,4,1,1150,1,0,11.119,,
data\segmentation_photos\Haresh\Haresh_09_label-1020.png,1020,components,4,4,1,1020,1,0,12.777,,
data\segmentation_photos\Haresh\Haresh_09_label-1020.png,1020,projection,4,4,1,1020,1,0,9.834,,
data\segmentation_photos\Haresh\Haresh_10_label-28.png,28,components,2,2,1,28,1,0,11.277,,
data\segmentation_photos\Haresh\Haresh_10_label-28.png,28,projection,2,2,1,28,1,0,11.284,,
data\segmentation_photos\Manula\Manula_01_label-4.jpg,4,components,1,1,1,4,1,0,126.186,,
data\segmentation_photos\Manula\Manula_01_label-4.jpg,4,projection,1,1,1,4,1,0,133.547,,
data\segmentation_photos\Manula\Manula_02_label-7.jpg,7,components,1,1,1,2,0,1,165.597,,
data\segmentation_photos\Manula\Manula_02_label-7.jpg,7,projection,1,1,1,2,0,1,143.769,,
data\segmentation_photos\Manula\Manula_03_label-1.jpg,1,components,1,1,1,1,1,0,157.705,,
data\segmentation_photos\Manula\Manula_03_label-1.jpg,1,projection,1,1,1,1,1,0,171.456,,
